orderid,orderdate,unitcost,price,orderqty,costofsales,productname,brandname,state,revenue,Profit
2759,10/30/2012,76.17561195,119,13,990.2829554,"SV 16xDVD M320 Silver","Southridge Video",Oyo,1547.00,556.72
2388,9/24/2014,40.1621313,116.9,10,401.621313,"SV 16xDVD M350 Silver","Southridge Video","Zamfara ",1169.00,767.38
7608,2/23/2013,60.52475891,126.9,9,544.7228302,"SV 16xDVD M360 Silver","Southridge Video",Osun,1142.10,597.38
22,02-02-13,45.45092171,126.9,9,409.0582954,"SV 16xDVD M360 Silver","Southridge Video",Anambra,1142.10,733.04
1357,1/17/2012,33.32768355,126.9,12,399.9322026,"SV 16xDVD M360 Silver","Southridge Video","Zamfara ",1522.80,1122.87
2355,8/26/2012,95.65901037,126.9,12,1147.908124,"SV 16xDVD M360 Silver","Southridge Video",Kano,1522.80,374.89
3127,2/26/2012,83.30262938,126.9,9,749.7236644,"SV 16xDVD M360 Silver","Southridge Video",Gombe,1142.10,392.38
2170,3/22/2014,173.4906838,199.9,10,1734.906838,"SV 8xDVD E130 Silver","Southridge Video",Gombe,1999.00,264.09
821,7/22/2013,50.50583355,66,12,606.0700027,"SV 8xDVD E140 Silver","Southridge Video",Delta,792.00,185.93
2458,1/22/2012,53.44606691,66,4,213.7842677,"SV 8xDVD E140 Silver","Southridge Video","Zamfara ",264.00,50.22
7694,11-08-14,479.6246082,599,8,3836.996865,"Litware Home Theater System 4.1 Channel M410 Black",Litware,Benue,4792.00,955.00
757,02-12-13,145.6543921,599,9,1310.889529,"Litware Home Theater System 4.1 Channel M410 Black",Litware,Gombe,5391.00,4080.11
2814,9/14/2013,571.6554301,699,10,5716.554301,"Litware Home Theater System 5.1 Channel M511 Black","Litware ",Plateau,6990.00,1273.45
7455,1/25/2012,241.0970144,269.9,8,1928.776115,"Litware Home Theater System 2.1 Channel E211 Black","Litware ","Akwa Ibom",2159.20,230.42
583,5/17/2012,150.5676598,269.9,5,752.8382991,"Litware Home Theater System 2.1 Channel E211 Black","Litware ",Bayelsa,1349.50,596.66
432,11/17/2012,271.3645277,299.9,4,1085.458111,"Litware Home Theater System 2.1 Channel E212 Black","Litware ","Cross River",1199.60,114.14
905,4/22/2012,267.1351772,299.9,10,2671.351772,"Litware Home Theater System 2.1 Channel E212 Black","Litware ",Adamawa,2999.00,327.65
1817,11/18/2012,93.93248902,299.9,4,375.7299561,"Litware Home Theater System 2.1 Channel E212 Black","Litware ",Adamawa,1199.60,823.87
2397,8/20/2013,198.2677153,299.9,10,1982.677153,"Litware Home Theater System 2.1 Channel E212 Black","Litware ",Adamawa,2999.00,1016.32
2601,1/17/2013,54.35335261,299.9,9,489.1801735,"Litware Home Theater System 2.1 Channel E212 Black","Litware ",Taraba,2699.10,2209.92
2975,9/14/2014,50.10025377,569,20,1002.005075,"Litware Home Theater System 4.1 Channel M412 Black","Litware ",Kwara,11380.00,10377.99
2999,12/19/2013,320.5631828,699,13,4167.321376,"Litware Home Theater System 5.1 Channel M512 Black","Litware ",Sokoto,9087.00,4919.68
2591,03-02-14,71.00988057,95.95,9,639.0889252,"Litware Home Theater System 5.1 Channel M513 Black","Litware ",Imo,863.55,224.46
206,07-09-14,185.226451,799,10,1852.26451,"Litware Home Theater System 7.1 Channel M710 Black","Litware ",Imo,7990.00,6137.74
1001,10/16/2012,163.5139925,799,8,1308.11194,"Litware Home Theater System 7.1 Channel M710 Black","Litware ",Taraba,6392.00,5083.89
2335,6/24/2013,206.7114515,799,12,2480.537418,"Litware Home Theater System 7.1 Channel M710 Black","Litware ",Anambra,9588.00,7107.46
43,1/26/2013,207.9934914,599,9,1871.941422,"Litware Home Theater System 5.1 Channel M514 Black","Litware ",Sokoto,5391.00,3519.06
421,7/29/2013,236.8639054,599,12,2842.366865,"Litware Home Theater System 5.1 Channel M514 Black","Litware ",Edo,7188.00,4345.63
2293,11/26/2013,495.6504896,599,13,6443.456365,"Litware Home Theater System 5.1 Channel M514 Black","Litware ",Kwara,7787.00,1343.54
1530,3/22/2013,126.4390528,569,10,1264.390528,"Litware Home Theater System 5.1 Channel M515 Black",Litware,Edo,5690.00,4425.61
2724,05-12-12,480.5741196,569,10,4805.741196,"Litware Home Theater System 5.1 Channel M515 Black",Litware,Niger,5690.00,884.26
45,2/27/2014,148.7670882,579,9,1338.903793,"Litware Home Theater System 5.1 Channel M516 Black","Litware ",Kogi,5211.00,3872.10
2545,10-09-13,522.6219964,579,8,4180.975972,"Litware Home Theater System 5.1 Channel M516 Black","Litware ",Nasarawa,4632.00,451.02
2649,1/29/2013,87.64923231,299,9,788.8430908,"Litware Home Theater System 2.1 Channel E210 Silver","Litware ",Imo,2691.00,1902.16
3370,3/30/2014,8.860613872,12.99,20,177.2122774,"Litware Home Theater System 5.1 Channel M510 Silver","Litware ",Ondo,259.80,82.59
3135,9/21/2012,229.0559401,269.9,5,1145.2797,"Litware Home Theater System 2.1 Channel E211 Silver","Litware ",Anambra,1349.50,204.22
868,07-09-12,147.3277734,299.9,5,736.638867,"Litware Home Theater System 2.1 Channel E212 Silver","Litware ",Kano,1499.50,762.86
1769,7/22/2012,77.75344128,299.9,5,388.7672064,"Litware Home Theater System 2.1 Channel E212 Silver","Litware ",Katsina,1499.50,1110.73
7435,7/22/2013,98.41626862,569,12,1180.995223,"Litware Home Theater System 4.1 Channel M412 Silver","Litware ",Niger,6828.00,5647.00
2949,9/21/2014,251.3061152,569,10,2513.061152,"Litware Home Theater System 4.1 Channel M412 Silver","Litware ",Osun,5690.00,3176.94
2008,08-01-13,213.0845296,549,12,2557.014355,"Litware Home Theater System 4.1 Channel M413 Silver",Litware,Osun,6588.00,4030.99
1786,11/14/2013,102.8436447,699,8,822.7491579,"Litware Home Theater System 5.1 Channel M512 Silver","Litware ",Adamawa,5592.00,4769.25
1917,12/27/2013,9.014828092,699,8,72.11862474,"Litware Home Theater System 5.1 Channel M512 Silver","Litware ",Kano,5592.00,5519.88
1845,11-01-13,280.7744711,599,13,3650.068124,"Litware Home Theater System 5.1 Channel M514 Silver","Litware ","Zamfara ",7787.00,4136.93
2493,3/20/2014,418.6223448,569,10,4186.223448,"Litware Home Theater System 5.1 Channel M515 Silver",Litware,Ondo,5690.00,1503.78
456,11/17/2012,326.0300238,579,8,2608.240191,"Litware Home Theater System 5.1 Channel M516 Silver","Litware ",Osun,4632.00,2023.76
3060,12-03-12,5.728561574,579,13,74.47130046,"Litware Home Theater System 5.1 Channel M516 Silver","Litware ",Jigawa,7527.00,7452.53
7553,07-10-14,267.565882,599,12,3210.790584,"Litware Home Theater System 4.1 Channel M410 Brown",Litware,Kano,7188.00,3977.21
800,7/21/2014,482.4561935,599,12,5789.474323,"Litware Home Theater System 4.1 Channel M410 Brown",Litware,Kebbi,7188.00,1398.53
1809,07-03-13,519.3672377,599,12,6232.406852,"Litware Home Theater System 4.1 Channel M410 Brown",Litware,Osun,7188.00,955.59
2358,3/30/2012,59.51462961,59.99,5,297.5731481,"Litware Home Theater System 5.1 Channel M511 Brown","Litware ",Ekiti,299.95,2.38
316,03-01-13,243.3360288,299,9,2190.024259,"Litware Home Theater System 2.1 Channel E210 Brown","Litware ",Osun,2691.00,500.98
2602,9/14/2012,264.1205546,269.9,5,1320.602773,"Litware Home Theater System 2.1 Channel E211 Brown","Litware ",Katsina,1349.50,28.90
7320,3/30/2012,451.1821852,689,24,10828.37244,"Litware Home Theater System 5.1 Channel M513 Brown","Litware ",Katsina,16536.00,5707.63
7732,5/30/2012,409.5050254,689,10,4095.050254,"Litware Home Theater System 5.1 Channel M513 Brown","Litware ",Edo,6890.00,2794.95
633,3/20/2012,518.8714549,689,10,5188.714549,"Litware Home Theater System 5.1 Channel M513 Brown","Litware ",Edo,6890.00,1701.29
1426,8/25/2012,176.3135924,689,12,2115.763109,"Litware Home Theater System 5.1 Channel M513 Brown","Litware ",Kano,8268.00,6152.24
2531,2/25/2013,226.828617,799,12,2721.943404,"Litware Home Theater System 7.1 Channel M710 Brown","Litware ",Borno,9588.00,6866.06
2017,05-03-14,704.1995855,1109,6,4225.197513,"Litware Home Theater System 7.1 Channel X711 Brown","Litware ",Gombe,6654.00,2428.80
1720,05-08-13,289.2984986,599,10,2892.984986,"Litware Home Theater System 5.1 Channel M514 Brown","Litware ",Nasarawa,5990.00,3097.02
2047,03-12-13,382.8271895,599,10,3828.271895,"Litware Home Theater System 5.1 Channel M514 Brown","Litware ","Akwa Ibom",5990.00,2161.73
2294,10/18/2013,411.2295797,599,13,5345.984536,"Litware Home Theater System 5.1 Channel M514 Brown","Litware ",Oyo,7787.00,2441.02
2518,4/24/2014,357.4518199,599,10,3574.518199,"Litware Home Theater System 5.1 Channel M514 Brown","Litware ",Taraba,5990.00,2415.48
1206,9/18/2013,200.9332381,299,10,2009.332381,"Contoso Home Theater System 2.1 Channel E1200 Black",Contoso,Delta,2990.00,980.67
1372,06-07-12,238.8527988,299,6,1433.116793,"Contoso Home Theater System 2.1 Channel E1200 Black",Contoso,Adamawa,1794.00,360.88
1984,04-04-12,287.68879,299,15,4315.33185,"Contoso Home Theater System 2.1 Channel E1200 Black",Contoso,Anambra,4485.00,169.67
1678,02-07-13,536.9065037,889,12,6442.878044,"Contoso Home Theater System 7.1 Channel M1700 Black",Contoso,Osun,10668.00,4225.12
88,09-01-12,117.203474,409,12,1406.441688,"Contoso Home Theater System 4.1 Channel M1400 Black",Contoso,Anambra,4908.00,3501.56
970,09-05-14,170.0771906,409,8,1360.617525,"Contoso Home Theater System 4.1 Channel M1400 Black",Contoso,Kwara,3272.00,1911.38
7406,8/23/2012,207.0559374,429,12,2484.671249,"Contoso Home Theater System 5.1 Channel M1500 Black",Contoso,Kwara,5148.00,2663.33
3105,04-02-12,111.6891298,429,12,1340.269558,"Contoso Home Theater System 5.1 Channel M1500 Black",Contoso,Ekiti,5148.00,3807.73
2523,04-04-12,32.98138916,329,10,329.8138916,"Contoso Home Theater System 4.1 Channel M1410 Black",Contoso,Gombe,3290.00,2960.19
7427,08-06-14,219.219008,339,36,7891.884289,"Contoso Home Theater System 5.1 Channel M1520 Black",Contoso,Niger,12204.00,4312.12
235,8/30/2012,265.3257116,399,9,2387.931404,"Contoso Home Theater System 5.1 Channel M1530 Black",Contoso,Bayelsa,3591.00,1203.07
2240,05-09-13,185.7079464,399,10,1857.079464,"Contoso Home Theater System 5.1 Channel M1530 Black",Contoso,Ondo,3990.00,2132.92
2866,06-09-13,5.44077354,199,12,65.28928248,"Contoso Home Theater System 2.1 Channel E1220 Black",Contoso,"Cross River",2388.00,2322.71
1098,12/21/2011,106.2768573,299,4,425.1074292,"Contoso Home Theater System 2.1 Channel E1200 Silver",Contoso,"Cross River",1196.00,770.89
2060,01-04-12,230.730508,299,6,1384.383048,"Contoso Home Theater System 2.1 Channel E1200 Silver",Contoso,Niger,1794.00,409.62
3186,1/26/2012,229.5121199,329,9,2065.609079,"Contoso Home Theater System 2.1 Channel M1210 Silver",Contoso,"Zamfara ",2961.00,895.39
1199,9/16/2013,45.06018591,889,10,450.6018591,"Contoso Home Theater System 7.1 Channel M1700 Silver",Contoso,Edo,8890.00,8439.40
1314,9/19/2012,342.9698907,429,10,3429.698907,"Contoso Home Theater System 5.1 Channel M1500 Silver",Contoso,Plateau,4290.00,860.30
2494,3/19/2014,338.1855275,429,12,4058.22633,"Contoso Home Theater System 5.1 Channel M1500 Silver",Contoso,Abia,5148.00,1089.77
1054,1/30/2013,287.1988213,339,9,2584.789392,"Contoso Home Theater System 5.1 Channel M1520 Silver",Contoso,Sokoto,3051.00,466.21
1668,8/30/2014,111.0289533,199,20,2220.579065,"Contoso Home Theater System 2.1 Channel E1220 Silver",Contoso,Osun,3980.00,1759.42
1701,3/14/2012,163.401615,199,5,817.0080752,"Contoso Home Theater System 2.1 Channel E1220 Silver",Contoso,Adamawa,995.00,177.99
7554,9/28/2013,58.18573526,480,10,581.8573526,"Contoso Home Theater System 4.1 Channel M1420 Silver",Contoso,Bauchi,4800.00,4218.14
503,07-03-14,279.0337973,480,10,2790.337973,"Contoso Home Theater System 4.1 Channel M1420 Silver",Contoso,Nasarawa,4800.00,2009.66
610,7/22/2012,135.3889532,329,10,1353.889532,"Contoso Home Theater System 2.1 Channel M1210 White",Contoso,Katsina,3290.00,1936.11
1683,6/16/2013,80.44890604,329,12,965.3868725,"Contoso Home Theater System 2.1 Channel M1210 White",Contoso,Plateau,3948.00,2982.61
2768,06-09-14,503.9164936,889,12,6046.997924,"Contoso Home Theater System 7.1 Channel M1700 White",Contoso,Borno,10668.00,4621.00
3054,02-10-12,291.967198,889,9,2627.704782,"Contoso Home Theater System 7.1 Channel M1700 White",Contoso,Ondo,8001.00,5373.30
640,4/29/2012,411.5262451,409,12,4938.314941,"Contoso Home Theater System 4.1 Channel M1400 White",Contoso,Rivers,4908.00,-30.31
1908,5/29/2012,235.5096374,409,10,2355.096374,"Contoso Home Theater System 4.1 Channel M1400 White",Contoso,Enugu,4090.00,1734.90
7499,05-08-12,206.5470651,429,10,2065.470651,"Contoso Home Theater System 5.1 Channel M1500 White",Contoso,"Akwa Ibom",4290.00,2224.53
428,12/25/2011,255.2867861,429,9,2297.581075,"Contoso Home Theater System 5.1 Channel M1500 White",Contoso,Ebonyi,3861.00,1563.42
2579,9/26/2014,64.34263234,489,10,643.4263234,"Contoso Home Theater System 5.1 Channel M1510 White",Contoso,Bauchi,4890.00,4246.57
2439,8/28/2014,113.0130098,329,12,1356.156118,"Contoso Home Theater System 4.1 Channel M1410 White",Contoso,Ogun,3948.00,2591.84
2854,3/13/2012,212.9263838,329,10,2129.263838,"Contoso Home Theater System 4.1 Channel M1410 White",Contoso,Nasarawa,3290.00,1160.74
1100,1/24/2014,160.4659924,399,9,1444.193932,"Contoso Home Theater System 5.1 Channel M1530 White",Contoso,Osun,3591.00,2146.81
1499,8/19/2012,325.1224269,399,12,3901.469123,"Contoso Home Theater System 5.1 Channel M1530 White",Contoso,Anambra,4788.00,886.53
2283,11/13/2013,206.1863084,399,26,5360.844018,"Contoso Home Theater System 5.1 Channel M1530 White",Contoso,Katsina,10374.00,5013.16
3356,01-01-13,269.093955,399,18,4843.69119,"Contoso Home Theater System 5.1 Channel M1530 White",Contoso,Enugu,7182.00,2338.31
3364,5/31/2013,25.92101966,255,12,311.0522359,"Contoso Home Theater System 2.1 Channel E1220 White",Contoso,Enugu,3060.00,2748.95
2942,09-09-13,481.9568509,529,10,4819.568509,"Contoso Home Theater System 5.1 Channel M1540 White",Contoso,Taraba,5290.00,470.43
413,11/23/2012,381.0311069,480,26,9906.808778,"Contoso Home Theater System 4.1 Channel M1420 White",Contoso,Kwara,12480.00,2573.19
3149,3/17/2012,318.8699977,480,10,3188.699977,"Contoso Home Theater System 4.1 Channel M1420 White",Contoso,Kaduna,4800.00,1611.30
654,06-10-14,288.7563578,360,10,2887.563578,"Contoso Home Theater System 2.1 Channel M1230 White",Contoso,Kwara,3600.00,712.44
1061,2/22/2014,186.6436751,299,18,3359.586151,"Contoso Home Theater System 2.1 Channel E1200 Brown",Contoso,Yobe,5382.00,2022.41
2618,12/20/2011,189.1381833,299,4,756.5527331,"Contoso Home Theater System 2.1 Channel E1200 Brown",Contoso,Gombe,1196.00,439.45
76,06-05-14,239.1830077,429,12,2870.196092,"Contoso Home Theater System 5.1 Channel M1500 Brown",Contoso,Gombe,5148.00,2277.80
348,3/23/2014,263.9643556,429,10,2639.643556,"Contoso Home Theater System 5.1 Channel M1500 Brown",Contoso,Ekiti,4290.00,1650.36
1348,8/25/2013,167.4148209,429,9,1506.733388,"Contoso Home Theater System 5.1 Channel M1500 Brown",Contoso,Kogi,3861.00,2354.27
190,04-02-14,202.3801168,489,9,1821.421051,"Contoso Home Theater System 5.1 Channel M1510 Brown",Contoso,Ondo,4401.00,2579.58
3015,2/22/2014,234.0216362,329,36,8424.778904,"Contoso Home Theater System 4.1 Channel M1410 Brown",Contoso,Adamawa,11844.00,3419.22
852,2/27/2013,170.9344491,339,9,1538.410042,"Contoso Home Theater System 5.1 Channel M1520 Brown",Contoso,Kwara,3051.00,1512.59
2002,05-04-14,9.880780372,339,12,118.5693645,"Contoso Home Theater System 5.1 Channel M1520 Brown",Contoso,Kebbi,4068.00,3949.43
7283,09-11-14,71.95317328,199,16,1151.250772,"Contoso Home Theater System 2.1 Channel E1220 Brown",Contoso,Abia,3184.00,2032.75
2808,7/28/2012,67.01267231,199,6,402.0760339,"Contoso Home Theater System 2.1 Channel E1220 Brown",Contoso,FCT,1194.00,791.92
2111,07-11-13,13.60682358,499,10,136.0682358,"SV Car Video LCD7W M7081 Black","Southridge Video","Akwa Ibom",4990.00,4853.93
2694,08-02-13,235.6387574,499,12,2827.665088,"SV Car Video LCD7W M7081 Black","Southridge Video",Anambra,5988.00,3160.33
2707,11/14/2013,428.4447934,499,13,5569.782314,"SV Car Video LCD7W M7081 Black","Southridge Video",Anambra,6487.00,917.22
3162,4/16/2012,304.9053418,499,10,3049.053418,"SV Car Video LCD7W M7081 Black","Southridge Video",Kogi,4990.00,1940.95
7263,10-02-12,38.38022681,299,10,383.8022681,"SV Car Video TFT7 M7000 Black","Southridge Video",Imo,2990.00,2606.20
7702,12/13/2011,188.2912786,299,8,1506.330229,"SV Car Video TFT7 M7000 Black","Southridge Video",Borno,2392.00,885.67
712,02-09-13,81.07279012,299,9,729.6551111,"SV Car Video TFT7 M7000 Black","Southridge Video",Niger,2691.00,1961.34
7302,8/13/2012,34.95104844,279,5,174.7552422,"SV Car Video TFT6.2W E6280 Black","Southridge Video",Plateau,1395.00,1220.24
859,1/19/2014,103.9002349,279,18,1870.204229,"SV Car Video TFT6.2W E6280 Black","Southridge Video",Borno,5022.00,3151.80
2179,08-04-12,202.4396626,279,4,809.7586505,"SV Car Video TFT6.2W E6280 Black","Southridge Video",Kogi,1116.00,306.24
1526,9/30/2013,40.66231707,259,8,325.2985365,"SV Car Video TFT6.2W E6281 Black","Southridge Video",Ekiti,2072.00,1746.70
1546,2/25/2014,22.25319896,259,18,400.5575813,"SV Car Video TFT6.2W E6281 Black","Southridge Video",Kano,4662.00,4261.44
2991,11/17/2014,171.5977291,259,26,4461.540956,"SV Car Video TFT6.2W E6281 Black","Southridge Video",Ondo,6734.00,2272.46
1520,8/28/2014,149.43991,269,24,3586.557839,"SV Car Video TFT6.2W E6282 Black","Southridge Video",Imo,6456.00,2869.44
1636,11/27/2013,4.291979641,269,13,55.79573533,"SV Car Video TFT6.2W E6282 Black","Southridge Video",Adamawa,3497.00,3441.20
7730,03-09-12,85.92053755,309,10,859.2053755,"SV Car Video TFT7 M7001 Black","Southridge Video","Cross River",3090.00,2230.79
1733,5/26/2012,201.3857778,309,10,2013.857778,"SV Car Video TFT7 M7001 Black","Southridge Video",FCT,3090.00,1076.14
7306,5/30/2014,171.1189823,199,40,6844.759291,"SV Car Video AM/FM E1000 Black","Southridge Video",Anambra,7960.00,1115.24
132,11/24/2014,422.433376,869,6,2534.600256,"SV Car Video LCD9.2W X9281 Black","Southridge Video",Lagos,5214.00,2679.40
1014,10/25/2012,452.1484608,699,13,5877.929991,"SV Car Video LCD7W M7082 Black","Southridge Video",Abia,9087.00,3209.07
1196,10/14/2013,84.78916774,699,13,1102.259181,"SV Car Video LCD7W M7082 Black","Southridge Video",Kaduna,9087.00,7984.74
1705,8/14/2012,624.2482968,699,9,5618.234672,"SV Car Video LCD7W M7082 Black","Southridge Video",Kwara,6291.00,672.77
303,5/20/2012,212.0361303,329,10,2120.361303,"SV Car Video LCD7 M7001 Black","Southridge Video","Zamfara ",3290.00,1169.64
